u1,fresho,english oven,nutralite,ching's,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u2,fresho,amul,nescafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u3,mother dairy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u4,nature basket,chitale,britannia ,licious,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u5,farm fresh,amul,amul ,english oven,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1,amul,nutralite,amul,fortune,colin,,,,,,,,,,,,,,,,,,,,,,,,,,,
u2,winkies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u3,farm fresh,nestle,britannia ,kingfisher ,absolut,,,,,,,,,,,,,,,,,,,,,,,,,,,
u4,ikea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u5,amul,wheat ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1,exotic flora,farm fresh,winkies ,bisleri,toblerone,,,,,,,,,,,,,,,,,,,,,,,,,,,
u2,fresho,fresho,amul,chitale,mother dairy ,chitale,ashirwad,aqua,clay craft,,,,,,,,,,,,,,,,,,,,,,,
u3,licious ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u4,quickee,winkies,sparkling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u5,meatigo ,exotic flora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1,nutralite,sugarlite,real,times of india ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u2,real,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u3,exotic flora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u4,cadbury ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u5,nomad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1,farm fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u2,chitale ,english oven ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u3,amul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u4,fresho,britannia ,nutralite,surf excel,times of india ,,,,,,,,,,,,,,,,,,,,,,,,,,,
u5,exotic flora,nature basket ,nature basket,havmor,britannia ,ashirwad,nutella,balaji,belgian ,alpenlibe,harpic,,,,,,,,,,,,,,,,,,,,,
u1,bisleri,tuborg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u2,amul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u3,fresho,britannia ,kinley,toblerone,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u4,farm fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u5,winkies ,kinley,real,tuborg,times of india ,suprino,,,,,,,,,,,,,,,,,,,,,,,,,,
u1,chitale,coca cola,bisleri,nomad,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u2,licious,nature basket,britannia ,everest ,aqua,nykaa,vanity,,,,,,,,,,,,,,,,,,,,,,,,,
u3,fresho,nature basket,mother dairy,pepsi,sugarlite,,,,,,,,,,,,,,,,,,,,,,,,,,,
u4,fresho,fresho,nature basket,mother dairy,amul,softouch,kinley,colin,,,,,,,,,,,,,,,,,,,,,,,,
u5,licious ,fresho,tide ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1,monginis,sparkling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
